"filename", "language", "JSON with Comments", "TypeScript React", "TypeScript", "SVG", "JSON", "Markdown", "Ignore", "CSS", "comment", "blank", "total"
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Footer.tsx", "TypeScript React", 0, 227, 0, 0, 0, 0, 0, 0, 0, 6, 233
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Form.tsx", "TypeScript React", 0, 676, 0, 0, 0, 0, 0, 0, 0, 22, 698
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Form__Lightbox.tsx", "TypeScript React", 0, 68, 0, 0, 0, 0, 0, 0, 0, 8, 76
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/GatsbyImageFocused.tsx", "TypeScript React", 0, 91, 0, 0, 0, 0, 0, 0, 13, 11, 115
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Home__Calendar.tsx", "TypeScript React", 0, 258, 0, 0, 0, 0, 0, 0, 0, 7, 265
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Home__Latest.tsx", "TypeScript React", 0, 189, 0, 0, 0, 0, 0, 0, 0, 7, 196
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/InternalArticle.tsx", "TypeScript React", 0, 109, 0, 0, 0, 0, 0, 0, 0, 8, 117
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/InternalArticle__Thumbnail.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/InternalLink.tsx", "TypeScript React", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/InternalLinkFiltered.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Layout.tsx", "TypeScript React", 0, 59, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Leader__Profile.tsx", "TypeScript React", 0, 132, 0, 0, 0, 0, 0, 0, 0, 6, 138
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Leader__Thumbnail.tsx", "TypeScript React", 0, 117, 0, 0, 0, 0, 0, 0, 0, 5, 122
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Lightbox.tsx", "TypeScript React", 0, 281, 0, 0, 0, 0, 0, 0, 0, 17, 298
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Lightbox__Content.tsx", "TypeScript React", 0, 81, 0, 0, 0, 0, 0, 0, 0, 6, 87
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Lightbox__Link.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 0, 6, 72
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/LoadingSpinner.tsx", "TypeScript React", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/MainNav.tsx", "TypeScript React", 0, 404, 0, 0, 0, 0, 0, 0, 0, 17, 421
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/MediaBlock.tsx", "TypeScript React", 0, 200, 0, 0, 0, 0, 0, 0, 0, 7, 207
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/MultilineTextField.tsx", "TypeScript React", 0, 107, 0, 0, 0, 0, 0, 0, 0, 11, 118
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/NavBurger.tsx", "TypeScript React", 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/NavButton.tsx", "TypeScript React", 0, 169, 0, 0, 0, 0, 0, 0, 0, 11, 180
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/NavLinkGroup.tsx", "TypeScript React", 0, 394, 0, 0, 0, 0, 0, 0, 0, 11, 405
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PageContact.tsx", "TypeScript React", 0, 131, 0, 0, 0, 0, 0, 0, 0, 8, 139
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PageContent.tsx", "TypeScript React", 0, 83, 0, 0, 0, 0, 0, 0, 0, 9, 92
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PageFilter.tsx", "TypeScript React", 0, 199, 0, 0, 0, 0, 0, 0, 0, 16, 215
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PageHero.tsx", "TypeScript React", 0, 82, 0, 0, 0, 0, 0, 0, 0, 5, 87
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PageIntro.tsx", "TypeScript React", 0, 74, 0, 0, 0, 0, 0, 0, 0, 5, 79
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PageNav.tsx", "TypeScript React", 0, 259, 0, 0, 0, 0, 0, 0, 0, 12, 271
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Partner__Article.tsx", "TypeScript React", 0, 124, 0, 0, 0, 0, 0, 0, 0, 6, 130
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Partner__Thumbnail.tsx", "TypeScript React", 0, 70, 0, 0, 0, 0, 0, 0, 0, 5, 75
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/PartnersGrid.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ProgramBlock.tsx", "TypeScript React", 0, 151, 0, 0, 0, 0, 0, 0, 0, 6, 157
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ProgramCatalogSection.tsx", "TypeScript React", 0, 106, 0, 0, 0, 0, 0, 0, 0, 6, 112
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ScrollSlider.tsx", "TypeScript React", 0, 330, 0, 0, 0, 0, 0, 0, 0, 15, 345
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ScrollToggle.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/SelectField.tsx", "TypeScript React", 0, 181, 0, 0, 0, 0, 0, 0, 0, 17, 198
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/SelectStateField.tsx", "TypeScript React", 0, 95, 0, 0, 0, 0, 0, 0, 0, 7, 102
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/SocialLink.tsx", "TypeScript React", 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/TertiaryPageContent.tsx", "TypeScript React", 0, 100, 0, 0, 0, 0, 0, 0, 0, 8, 108
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/TextField.tsx", "TypeScript React", 0, 137, 0, 0, 0, 0, 0, 0, 0, 11, 148
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/VectorGraphic.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
